id,stock_name,value
1,"Net Element, Inc.",$508.32
2,"Cyclacel Pharmaceuticals, Inc.",$216.12
3,Williams Partners LP,$183.76
4,Citigroup Inc.,$329.86
5,Zebra Technologies Corporation,$886.74
6,"ESSA Bancorp, Inc.",$13.65
7,Rio Tinto Plc,$241.67
8,"Hertz Global Holdings, Inc",$787.75
9,Atkore International Group Inc.,$753.92
10,Royal Bank Scotland plc (The),$51.94
11,"Village Super Market, Inc.",$726.96
12,"Select Bancorp, Inc.",$616.87
13,"Western Asset Municipal Partners Fund, Inc.",$686.02
14,"Achaogen, Inc.",$394.14
15,Lindblad Expeditions Holdings Inc. ,$796.40
16,Clifton Bancorp Inc.,$173.18
17,"First Industrial Realty Trust, Inc.",$795.19
18,Seaspan Corporation,$620.61
19,"Xencor, Inc.",$662.46
20,CME Group Inc.,$50.48
21,CNA Financial Corporation,$938.10
22,Astrazeneca PLC,$266.23
23,Tucows Inc.,$384.61
24,IBERIABANK Corporation,$674.42
25,"Famous Dave's of America, Inc.",$940.87
26,Grupo Televisa S.A.,$180.07
27,"Amplify Snack Brands, inc.",$996.90
28,OFG Bancorp,$810.13
29,Morgan Stanley,$225.30
30,iPass Inc.,$441.12
31,"Laredo Petroleum, Inc.",$795.06
32,"Sientra, Inc.",$367.83
33,Monmouth Real Estate Investment Corporation,$837.86
34,Hudbay Minerals Inc.,$2.39
35,"Yum! Brands, Inc.",$821.15
36,Conyers Park Acquisition Corp.,$152.89
37,MSG Networks Inc.,$936.45
38,Pioneer Energy Services Corp.,$830.73
39,Investors Real Estate Trust,$983.59
40,Eaton Vance Risk-Managed Diversified Equity Income Fund,$807.88
41,Trinity Biotech plc,$239.20
42,"Top Image Systems, Ltd.",$689.21
43,"AeroVironment, Inc.",$217.86
44,Infinity Property and Casualty Corporation,$442.65
45,Legg Mason Global Infrastructure ETF,$410.21
46,AbbVie Inc.,$378.35
47,F.N.B. Corporation,$271.02
48,Baltimore Gas & Electric Company,$117.07
49,"ASB Bancorp, Inc.",$790.36
50,"Nu Skin Enterprises, Inc.",$572.18
51,National General Holdings Corp,$806.26
52,Service Corporation International,$621.41
53,Realogy Holdings Corp.,$526.06
54,Container Store (The),$993.10
55,"Richardson Electronics, Ltd.",$166.66
56,Morgan Stanley,$448.35
57,"Royce Global Value Trust, Inc.",$442.54
58,Loews Corporation,$631.63
59,Paragon Commercial Corporation,$308.74
60,"Rave Restaurant Group, Inc.",$685.80
61,EchoStar Corporation,$858.83
62,Cathay General Bancorp,$699.46
63,"Holly Energy Partners, L.P.",$186.76
64,"CRA International,Inc.",$333.68
65,NorthStar Realty Europe Corp.,$16.83
66,"Ares Dynamic Credit Allocation Fund, Inc.",$738.35
67,"TG Therapeutics, Inc.",$47.72
68,Kitov Pharmaceuticals Holdings Ltd.,$18.54
69,"Spectrum Pharmaceuticals, Inc.",$204.94
70,Calamos Convertible Opportunities and Income Fund,$370.29
71,Verint Systems Inc.,$368.47
72,Validea Market Legends ETF,$955.77
